"","slug_region","label_region","label","indicador","count"
"1","bogota-dc","Bogotá, D. C.","Bogotá, D. C.","registros_region_total",531050
"2","amazonas","Amazonas","Amazonas","registros_region_total",410439
"3","antioquia","Antioquia","Antioquia","registros_region_total",4479235
"4","arauca","Arauca","Arauca","registros_region_total",107069
"5","atlantico","Atlántico","Atlántico","registros_region_total",130295
"6","bolivar","Bolívar","Bolívar","registros_region_total",700350
"7","boyaca","Boyacá","Boyacá","registros_region_total",672576
"8","caldas","Caldas","Caldas","registros_region_total",1753187
"9","caqueta","Caquetá","Caquetá","registros_region_total",397288
"10","casanare","Casanare","Casanare","registros_region_total",630913
"11","cauca","Cauca","Cauca","registros_region_total",500978
"12","cesar","Cesar","Cesar","registros_region_total",211796
"13","choco","Chocó","Chocó","registros_region_total",602684
"14","cordoba","Córdoba","Córdoba","registros_region_total",261736
"15","cundinamarca","Cundinamarca","Cundinamarca","registros_region_total",1719324
"16","guainia","Guainía","Guainía","registros_region_total",181352
"17","guaviare","Guaviare","Guaviare","registros_region_total",130096
"18","huila","Huila","Huila","registros_region_total",429114
"19","la-guajira","La Guajira","La Guajira","registros_region_total",614212
"20","magdalena","Magdalena","Magdalena","registros_region_total",3255242
"21","meta","Meta","Meta","registros_region_total",1545314
"22","narino","Nariño","Nariño","registros_region_total",859188
"23","norte-santander","Norte de Santander","Norte de Santander","registros_region_total",127367
"24","putumayo","Putumayo","Putumayo","registros_region_total",437507
"25","quindio","Quindío","Quindío","registros_region_total",490120
"26","risaralda","Risaralda","Risaralda","registros_region_total",1023717
"27","san-andres-providencia","Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina","registros_region_total",155491
"28","santander","Santander","Santander","registros_region_total",1376141
"29","sucre","Sucre","Sucre","registros_region_total",180859
"30","tolima","Tolima","Tolima","registros_region_total",980396
"31","valle-del-cauca","Valle del Cauca","Valle del Cauca","registros_region_total",2216817
"32","vaupes","Vaupés","Vaupés","registros_region_total",208881
"33","vichada","Vichada","Vichada","registros_region_total",129241
